codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
34170,Santibáñez de Ecla,34,Palencia,480,79,sin dedicación
9355,Santibáñez de Esgueva,9,Burgos,480,79,sin dedicación
34171,Santibáñez de la Peña,34,Palencia,480.8,79,sin dedicación
37298,Santibáñez de la Sierra,37,Salamanca,486,79,sin dedicación
49205,Santibáñez de Tera,49,Zamora,490,79,sin dedicación
47154,Santibáñez de Valcorba,47,Valladolid,490,79,sin dedicación
49206,Santibáñez de Vidriales,49,Zamora,500,79,sin dedicación
9356,Santibáñez del Val,9,Burgos,500,79,sin dedicación
40188,Santiuste de Pedraza,40,Segovia,500,78,sin dedicación
40189,Santiuste de San Juan Bautista,40,Segovia,500,78,sin dedicación
37299,Santiz,37,Salamanca,500,78,parcial
9358,Santo Domingo de Silos,9,Burgos,500,77,sin dedicación
40191,Santo Tomé del Puerto,40,Segovia,504,77,sin dedicación
37300,"Santos, Los",37,Salamanca,518.98,77,sin dedicación
49207,Santovenia,49,Zamora,520,77,sin dedicación
47155,Santovenia de Pisuerga,47,Valladolid,520,77,parcial
34174,Santoyo,34,Palencia,520,77,sin dedicación
49210,Sanzoles,49,Zamora,524.14,76,sin dedicación
47157,Sardón de Duero,47,Valladolid,525,76,parcial
37301,Sardón de los Frailes,37,Salamanca,539,76,sin dedicación
9361,Sargentes de la Lora,9,Burgos,544.78,75,sin dedicación
24163,Sariegos,24,León,550,75,sin dedicación
9362,Sarracín,9,Burgos,550,75,sin dedicación
9363,Sasamón,9,Burgos,550,75,sin dedicación
37302,Saucelle,37,Salamanca,560,75,sin dedicación
40192,Sauquillo de Cabezas,40,Segovia,560,75,sin dedicación
47158,"Seca, La",47,Valladolid,576,74,parcial
40194,SEGOVIA,40,Segovia,585,74,exclusiva
24164,Sena de Luna,24,León,586.66,74,sin dedicación
37304,Sepulcro-Hilario,37,Salamanca,588.36,74,sin dedicación
40195,Sepúlveda,40,Segovia,589.98,74,exclusiva
9365,"Sequera de Haza, La",9,Burgos,590,74,sin dedicación
37305,Sequeros,37,Salamanca,600,74,sin dedicación
34175,"Serna, La",34,Palencia,600,74,sin dedicación
42171,Serón de Nágima,42,Soria,600,74,sin dedicación
5232,"Serrada, La",5,Ávila,600,74,sin dedicación
37306,Serradilla del Arroyo,37,Salamanca,600,73,sin dedicación
37307,Serradilla del Llano,37,Salamanca,600,73,sin dedicación
5233,Serranillos,5,Ávila,600,73,sin dedicación
37309,"Sierpe, La",37,Salamanca,613.7,73,sin dedicación
47160,Siete Iglesias de Trabancos,47,Valladolid,617.73,73,sin dedicación
37310,Sieteiglesias de Tormes,37,Salamanca,630,73,sin dedicación
47161,Simancas,47,Valladolid,630,73,exclusiva
37311,Sobradillo,37,Salamanca,630,73,sin dedicación
24165,SOBRADO,24,León,641.1,73,sin dedicación
5237,Solana de Rioalmar,5,Ávila,650,73,sin dedicación
42172,Soliedra,42,Soria,650,72,sin dedicación
5238,Solosancho,5,Ávila,650,72,sin dedicación
9368,Sordillos,9,Burgos,650,72,sin dedicación
42173,SORIA,42,Soria,650.82,72,exclusiva
37312,Sorihuela,37,Salamanca,673.33,72,sin dedicación
40198,Sotillo,40,Segovia,684.57,72,sin dedicación
5240,Sotillo de la Adrada,5,Ávila,690,72,sin dedicación
9369,Sotillo de la Ribera,9,Burgos,700,72,sin dedicación
42174,Sotillo del Rincón,42,Soria,700,72,sin dedicación
34177,Soto de Cerrato,34,Palencia,700,72,sin dedicación
24166,Soto de la Vega,24,León,700,71,parcial
24167,Soto y Amío,24,León,708.36,71,parcial
34176,Sotobañado y Priorato,34,Palencia,710,71,sin dedicación
40199,Sotosalbos,40,Segovia,710,71,sin dedicación
37313,Sotoserrano,37,Salamanca,715,71,parcial
9372,Sotragero,9,Burgos,716,71,sin dedicación
9373,Sotresgudo,9,Burgos,720,71,sin dedicación
42175,Suellacabras,42,Soria,720.6,70,sin dedicación
9374,Susinos del Páramo,9,Burgos,723.02,70,sin dedicación
34178,Tabanera de Cerrato,34,Palencia,741.58,70,sin dedicación
34179,Tabanera de Valdavia,34,Palencia,745,70,sin dedicación
40200,Tabanera la Luenga,40,Segovia,750,70,sin dedicación
49214,Tábara,49,Zamora,750,70,sin dedicación
42176,Tajahuerce,42,Soria,750,69,sin dedicación
42177,Tajueco,42,Soria,750,69,sin dedicación
